FECHA_ACCIDENTE,AÑO_ACCIDENTE,MES_ACCIDENTE,DIA_ACCIDENTE,HORA_ACCIDENTE,MOMENTO_DIA,GRAVEDAD_ACCIDENTE,CLASE_ACCIDENTE,SITIO_EXACTO_ACCIDENTE,LATITUD,LONGITUD,CANT_HERIDOS_EN _SITIO_ACCIDENTE,CANT_MUERTOS_EN _SITIO_ACCIDENTE,CANTIDAD_ACCIDENTES,ZONA
2015-01-11 11:00:00,2015,1,Dom,11:00:00:AM,Medio dia,Solo daños,Choque,AV CIRCUNVALAR CR 26,10.9716268,-74.8371453,0.0,0.0,1,SUR
2015-01-11 12:00:00,2015,1,Dom,12:00:00:PM,Medio dia,Solo daños,Choque,CRA 38 CLLE 80,10.9869768,-74.8200444,0.0,0.0,1,NORTE
2015-01-12 14:00:00,2015,1,Lun,02:00:00:PM,Tarde,Con heridos,Choque,CR 8G CL 50A,10.9495835,-74.8065737,1.0,0.0,1,SUR
2015-01-12 15:30:00,2015,1,Lun,03:30:00:PM,Tarde,Con heridos,Choque,CALLE 47 CRA 9,10.926617599999998,-74.805047,4.0,0.0,1,SUR
2015-01-12 04:00:00,2015,1,Lun,04:00:00:AM,Madrugada,Solo daños,Choque,CA 38 CLLE 56,10.982106800000002,-74.79551719999998,0.0,0.0,1,CENTRO
2015-01-12 16:10:00,2015,1,Lun,04:10:00:PM,Tarde,Solo daños,Choque,CLLE 49 CRA 2C,10.933914,-74.8059172,0.0,0.0,1,SUR
2015-01-12 17:00:00,2015,1,Lun,05:00:00:PM,Tarde,Solo daños,Choque,CLLE 71 CRA 41,10.9889231,-74.8076945,0.0,0.0,1,NORTE
2015-01-12 17:40:00,2015,1,Lun,05:40:00:PM,Tarde,Solo daños,Choque,CALLE 82 CR 42G,10.996219,-74.81864870000003,0.0,0.0,1,NORTE
2015-01-12 20:00:00,2015,1,Lun,08:00:00:PM,Noche,Solo daños,Choque,CLLE 45 AVENIDA 110,10.9301991,-74.79897530000002,0.0,0.0,1,SUR
2015-01-12 20:10:00,2015,1,Lun,08:10:00:PM,Noche,Solo daños,Choque,CLLE 45 CR 8A,10.946748,-74.7998703,0.0,0.0,1,SUR
2015-01-12 23:30:00,2015,1,Lun,11:30:00:PM,Noche,Solo daños,Choque,AV CIRCUNVALAR CR 15 SUR,10.9228065,-74.81234189999998,0.0,0.0,1,SUR
2015-01-12 12:00:00,2015,1,Lun,12:00:00:PM,Medio dia,Solo daños,Choque,CALLE 94 CR 52B,11.0112694,-74.82419519999998,0.0,0.0,1,NORTE
2015-01-13 14:30:00,2015,1,Mar,02:30:00:PM,Tarde,Solo daños,Choque,VIA 40 CLLE 85B,11.0264395,-74.80408729999998,0.0,0.0,1,NORTE
2015-01-13 05:00:00,2015,1,Mar,05:00:00:AM,Madrugada,Solo daños,Choque,CLLE 73 CRA 26A,10.97617,-74.8131281,0.0,0.0,1,CENTRO
2015-01-13 07:00:00,2015,1,Mar,07:00:00:AM,Mañana,Solo daños,Choque,CALLE 4 CR 64,10.9459191,-74.76360869999998,0.0,0.0,1,CENTRO
2015-01-13 07:00:00,2015,1,Mar,07:00:00:AM,Mañana,Solo daños,Choque,CALLE 94 CR 65,11.0187009,-74.817903,0.0,0.0,1,NORTE
2015-01-13 19:00:00,2015,1,Mar,07:00:00:PM,Noche,Solo daños,Choque,CLLE 30 CRA 27,10.9661483,-74.782387,0.0,0.0,1,CENTRO
