FECHA_ACCIDENTE,AÑO_ACCIDENTE,MES_ACCIDENTE,DIA_ACCIDENTE,HORA_ACCIDENTE,GRAVEDAD_ACCIDENTE,CLASE_ACCIDENTE,SITIO_EXACTO_ACCIDENTE,CANT_HERIDOS_EN _SITIO_ACCIDENTE,CANT_MUERTOS_EN _SITIO_ACCIDENTE,CANTIDAD_ACCIDENTES,LATITUD,LONGITUD
01/05/2015 12:00:00 AM,2015,1,Lun,07:00:00:AM,Solo daños,Choque,CL 40 25 07,0.0,0.0,1,10.9664317,-74.7881065
01/05/2015 12:00:00 AM,2015,1,Lun,07:40:00:AM,Solo daños,Choque,CLLE 79 CRA 53,0.0,0.0,1,11.004304,-74.8081282
01/05/2015 12:00:00 AM,2015,1,Lun,08:00:00:AM,Solo daños,Choque,CALLE 41 CR 7C,0.0,0.0,1,10.9432486,-74.79607969999998
01/05/2015 12:00:00 AM,2015,1,Lun,08:15:00:AM,Solo daños,Choque,CR 38 34 13,0.0,0.0,1,10.9771422,-74.77951920000002
01/05/2015 12:00:00 AM,2015,1,Lun,10:20:00:AM,Solo daños,Choque,CRA 52 CLLE 86,0.0,0.0,1,11.0077415,-74.8193692
01/05/2015 12:00:00 AM,2015,1,Lun,10:40:00:AM,Solo daños,Choque,CR 43 CL 48 Y CL 50,0.0,0.0,1,10.983577699999998,-74.7886692
01/05/2015 12:00:00 AM,2015,1,Lun,12:00:00:PM,Solo daños,Choque,CARRERA 27 CALLE 70,0.0,0.0,1,10.9769174,-74.81013670000002
01/05/2015 12:00:00 AM,2015,1,Lun,12:30:00:PM,Con heridos,Choque,CALLE 75 CR 72,1.0,0.0,1,11.0110286,-74.79444560000002
01/05/2015 12:00:00 AM,2015,1,Lun,12:30:00:PM,Solo daños,Choque,CALLE 37 CR 25,0.0,0.0,1,10.9654229,-74.7857547
01/06/2015 12:00:00 AM,2015,1,Mar,01:35:00:PM,Solo daños,Choque,CLLE 80 CRA 49C,0.0,0.0,1,11.0010288,-74.81338170000002
01/06/2015 12:00:00 AM,2015,1,Mar,03:15:00:PM,Solo daños,Choque,CL 95 CR 49D,0.0,0.0,1,11.0079605,-74.8273778
01/06/2015 12:00:00 AM,2015,1,Mar,03:40:00:PM,Solo daños,Choque,CRA 49C CLLE 91,0.0,0.0,1,11.0059384,-74.8243944
01/06/2015 12:00:00 AM,2015,1,Mar,03:50:00:PM,Solo daños,Choque,VIA 40 CL 79,0.0,0.0,1,11.0204925,-74.798834
01/06/2015 12:00:00 AM,2015,1,Mar,04:45:00:PM,Solo daños,Choque,CRA 43 CLLE 80,0.0,0.0,1,10.9964867,-74.81584769999998
01/06/2015 12:00:00 AM,2015,1,Mar,06:10:00:PM,Solo daños,Choque,CL 74 CR 56,0.0,0.0,1,11.001595,-74.8011686
01/06/2015 12:00:00 AM,2015,1,Mar,06:15:00:PM,Con heridos,Choque,CL 114 CR 11,1.0,0.0,1,10.963877900000002,-74.83879820000001
01/06/2015 12:00:00 AM,2015,1,Mar,07:55:00:AM,Solo daños,Choque,CALLE 76 CR 39,0.0,0.0,1,10.990493699999998,-74.8138629
01/06/2015 12:00:00 AM,2015,1,Mar,08:30:00:AM,Solo daños,Choque,CR 40 CL 33,0.0,0.0,1,10.9786913,-74.7781181
01/06/2015 12:00:00 AM,2015,1,Mar,09:20:00:AM,Solo daños,Choque,CALLE 70 CR 60,0.0,0.0,1,11.001162,-74.79600140000002
01/06/2015 12:00:00 AM,2015,1,Mar,10:40:00:AM,Solo daños,Choque,CALLE 110 12F 29,0.0,0.0,1,10.967611300000002,-74.8383805
01/06/2015 12:00:00 AM,2015,1,Mar,12:15:00:PM,Solo daños,Otro,VIA 40 CLLE 85,0.0,0.0,1,11.0263731,-74.8037791
01/07/2015 12:00:00 AM,2015,1,Mié,01:25:00:PM,Solo daños,Choque,CLLE 19 CRA 2C,0.0,0.0,1,10.938053,-74.77926110000001
